,road1,road2,road5,road6,road7,road8,road9,road10,road11,road12,road13,road14,road15,road16,road17,road18,road19,road20,road21,road22,road23,road24,road25,road26,road27,road28,road29,road30,road31,road32,road34,road35,road36,road37,road38,road39,road40,road41,road42,road43,road44,road45,road47,road48,road49,road50,road51,road52,road53,road54,road55,road56,road57,road58,road59,road60,road62,road63,road64,road65,road66,road67,road68,road69,road70,road71,road72,road73,road74,road75,road76,road77,road78,road79,road81,road82,road83,road84,road85,road86,road87,road88,road89,road90,road91,road92,road93,road94,road95,road96,road98,road99,road100,road101,road102,road104,road105,road106,road107,road108,road109,road110,road111,road113,road114,road115,road116,road117,road118,road119,road120,road121,road122,road123,road125,road126,road127,road128,road129,road132
road13,0.00892425,0.038401499,0.000386443,0.008758931,0.005868989,0.001881983,0.012450744,0.010245067,0.026281586,0.010494838,1,0.00500894,0.005424152,0.014834737,0.007118601,0.010765738,-0.009517286,0.026516538,0.029347074,0.039576937,-0.022004752,0.007650859,0.021296907,0.023569336,0.009793222,0.003486122,0.033234219,0.041641771,0.012897839,0.018743065,-0.002460654,0.000374782,-0.013107824,0.013483908,0.029347422,-0.008029334,-0.005377322,0.009328368,0.045196108,0.00530699,0.034814242,0.172239268,-0.011956602,0.010720556,0.021254985,0.018541449,-0.000109855,0.005081873,0.021713963,0.042152849,0.022980443,0.004638771,-0.009600554,0.002541283,0.009673968,-0.011694687,0.036648531,-0.003349125,0.045676799,0.079645451,0.108015159,0.008788625,0.015047846,0.019947821,0.007188949,-0.008792401,0.011217224,0.020954496,0.01581568,-0.001930805,0.01521148,0.024389961,0.031898475,0.020440056,-0.000517058,-0.0004254,-0.00611767,-0.003341697,-0.006450119,0.013488249,-0.00119075,-0.010573052,0.020828411,0.025119268,0.015375307,0.027947567,0.003077776,0.071166509,0.021817161,-0.002448142,-0.003145879,0.012294708,-0.003131732,0.004246759,0.001280492,0.01814862,-0.001516918,0.055233298,0.005435012,0.013426065,0.024971957,0.008720912,0.025135367,0.022893801,0.03213935,0.016209088,0.017361693,0.01123412,-0.002684567,0.009812875,-0.019670829,0.026762213,-0.009736418,-0.008737036,0.019744544,0.025417972,0.006507273,0.057523144,0.001640745,0.028242861
road14,0.032082065,0.174491612,0.062948929,0.153570929,0.084858641,0.017168361,0.058797713,0.072352351,0.198162833,0.004511567,0.00500894,1,0.68204106,0.019691876,0.013061423,0.141541785,0.057673306,0.214628086,0.034669845,0.027873358,0.046862585,0.011739988,0.067118738,0.331665616,0.051476103,0.106822572,0.120939077,0.041652764,0.053485276,0.370767732,0.032939534,0.005109133,0.010122358,0.032180841,0.432661227,0.244486463,0.035079693,0.119943912,0.370947367,0.010930414,0.38287693,0.204530615,0.099925831,0.065902921,0.151525145,0.038630233,0.087847602,0.095271356,0.048407681,0.23519908,0.080154519,0.0910104,0.078964657,0.173526444,0.155776927,0.041997812,0.188026059,0.021945087,0.240552553,0.241957202,0.183929638,0.593749654,0.052561697,0.143825623,0.042096421,0.007733032,0.44552503,0.10381034,0.056244803,0.011487652,0.155131953,0.162716425,0.385515478,0.037865746,0.076022978,0.060853937,0.03959922,0.028692875,0.023785365,0.008540291,0.106431913,0.062765442,0.314545915,0.087861266,0.019455294,0.106097769,0.047410397,0.062458948,0.010925746,0.055186488,0.040020683,0.046968823,0.03575183,0.020867545,0.621191572,0.011117714,0.072626716,0.181969961,0.063806173,0.265910155,0.241439308,0.042904606,0.164451901,0.228658078,0.196164945,0.094554291,0.008541328,0.189252625,0.003474144,0.057778828,0.06298239,0.181285375,0.026309515,0.011272463,0.087030737,0.318627616,0.065394327,0.16920688,0.066637111,0.060423442
road15,0.023902466,0.195840044,0.05798719,0.153578096,0.080362287,0.00943255,0.06041846,0.077868138,0.183282554,0.0134906,0.005424152,0.68204106,1,0.015303835,0.015214897,0.143740507,0.053257041,0.209716951,0.041244031,0.025089184,0.047093774,0.007491749,0.079524393,0.310031624,0.052149688,0.10922869,0.16905396,0.049828708,0.053036835,0.347900103,0.034079062,0.009591235,0.008621653,0.029106232,0.463657224,0.247101601,0.029583531,0.123674587,0.357719039,0.002533535,0.456882297,0.199370398,0.09454793,0.066433437,0.153809701,0.043577856,0.081741247,0.096160252,0.050923113,0.268775564,0.085203064,0.10297081,0.084671139,0.197727448,0.164758833,0.04400635,0.185394948,0.022139838,0.243844639,0.226982734,0.187818799,0.570401766,0.043916865,0.150027264,0.037103733,0.006557249,0.427066539,0.097845271,0.051234349,0.015373409,0.192916587,0.163343513,0.377198316,0.043373945,0.069055014,0.058041359,0.040116748,0.026051001,0.023625713,0.003952488,0.103231501,0.069883968,0.338534017,0.109325806,0.018284649,0.1093374,0.045016943,0.06319834,0.012190685,0.058905131,0.046484073,0.043343691,0.040111537,0.020643057,0.748484336,0.006202088,0.072392908,0.180674413,0.05817266,0.257515127,0.22361369,0.037833217,0.163820097,0.269385117,0.199565167,0.100015471,0.005946309,0.17447251,0.003513816,0.046280102,0.065612835,0.187377754,0.028534254,0.003501622,0.082799872,0.308392383,0.064442125,0.186329777,0.060939353,0.063042367
road16,0.02388387,0.034166814,0.025456875,0.028159873,0.023822665,0.01299933,0.016453401,0.029046337,0.021371605,-0.009609836,0.014834737,0.019691876,0.015303835,1,0.026881631,0.027031215,0.021953543,0.048847628,0.055587462,0.006448731,0.003398866,-0.00389926,-0.004089037,0.013041208,0.022919277,0.033240902,-0.002488064,0.080270629,0.024269439,0.009975363,0.033158674,0.005710001,0.053097148,0.055021811,0.009557059,0.000923964,0.082150133,0.049965739,0.054218077,0.007796977,0.01719474,0.057299504,0.028803353,0.006685824,0.0347872,0.122565676,0.028275457,0.063129897,0.007163855,0.008690399,0.025466514,0.031480611,0.015960689,0.013891075,0.003307993,0.020858521,0.064811222,0.006776664,0.063765886,0.049923503,0.045326657,0.028818456,0.035027375,0.050424471,0.034885179,0.012784881,0.004460564,0.031002828,0.037787875,-0.001030418,0.017587219,0.018371557,0.025582963,-0.001460533,0.01594411,0.00380834,0.034719628,0.002946122,0.00419134,0.645610317,0.039237942,0.015326213,0.016093063,0.00175501,0.482894624,0.002469655,0.031104181,0.028863026,0.154321562,0.022747111,0.024635238,0.004908844,0.019996166,0.040285606,0.023329722,0.025215214,0.01236682,0.042796828,0.025829982,0.009698043,0.037077082,0.014269562,0.091972345,0.005915816,0.050112669,0.007888316,0.022410792,0.024309579,0.003160668,0.030176519,0.018598005,0.0034177,0.019244423,-0.009756419,0.018932102,0.034305347,0.016832842,0.026456656,0.033474651,0.004429351
road17,0.072509379,-0.00040168,0.029460931,0.018881448,0.047860038,0.015634903,0.00791638,0.024309802,0.02844809,0.005656264,0.007118601,0.013061423,0.015214897,0.026881631,1,0.026461893,0.036394881,0.045692775,0.030444109,0.028252761,0.017427433,0.003204023,0.028539188,0.014961453,0.029223294,0.043120893,0.047482646,0.046848277,0.03312371,0.009575039,0.022059371,0.020445047,0.008142736,0.320526469,0.005344559,0.036690235,0.056874443,0.040205153,0.029201435,0.001816813,0.0056076,0.01573272,0.027234778,0.021892819,0.020844781,0.054750971,0.034441605,0.022496692,0.011192415,0.018355912,0.035810057,0.024961357,0.040677971,0.058031071,0.034691877,0.011723319,0.022044103,0.047706488,0.047273378,0.021412932,0.010895548,0.031009479,0.033190394,0.036027633,0.074941991,0.001330978,0.010681192,0.024101374,0.039676821,0.014763224,0.024938039,0.019142011,0.008345817,0.023286599,0.034206604,0.021989657,0.014852635,0.014961113,0.007325016,0.030863999,0.05061508,0.019851085,0.024634635,0.027052452,0.023825691,0.016996768,0.0280342,0.00206863,0.021695168,0.024364787,0.020802202,0.024173337,0.018227441,0.174133281,0.024929548,0.043099339,0.036602627,0.017699267,0.044946705,0.008606483,0.046461376,0.022309646,0.023064253,0.031240474,0.005439427,0.025664025,0.288421192,0.024070443,0.016094921,0.018075854,0.022837734,0.014395599,0.03560994,0.004019027,0.045184075,0.021844098,0.022300792,0.021064092,0.078665973,0.011802082
road18,0.031385149,0.13764343,0.098054721,0.091551877,0.077685626,0.00333934,0.067839144,0.095222112,0.075960418,0.009490927,0.010765738,0.141541785,0.143740507,0.027031215,0.026461893,1,0.065795163,0.236824921,0.079305037,0.038290216,0.100023251,0.007697747,0.068970901,0.210855388,0.102146617,0.089309585,0.099055533,0.084185605,0.102501632,0.228709609,0.271311697,0.045592266,-0.003905538,0.047639244,0.182761698,0.049096693,0.038718941,0.124431356,0.283677878,-0.015551987,0.135286616,0.229086638,0.069652056,0.08142943,0.235738511,0.081501423,0.054889979,0.140037619,0.087641779,0.082414461,0.078107346,0.100543644,0.076690947,0.040881384,0.066491127,0.094528542,0.215541812,0.110159981,0.349386347,0.293048084,0.202283687,0.193948726,0.079221217,0.265151729,0.043099808,-0.014347021,0.19843783,0.096515585,0.115062992,0.027453535,0.155868094,0.144577507,0.225329257,0.049888426,0.109499437,0.060260678,0.082532255,0.027791888,0.026981819,0.008746036,0.185591291,0.130426123,0.110858071,0.053965269,0.031224436,0.047760913,0.066310613,0.083154051,0.034161785,0.121681016,0.109800037,0.068465809,0.100080431,0.042749757,0.153424341,0.135876064,0.155905744,0.283598375,0.086997252,0.135984781,0.2072016,0.066685182,0.189474442,0.074519578,0.197476387,0.121814431,0.022869056,0.141263937,0.009686365,0.069062118,0.119389603,0.071535699,0.11139571,0.018611909,0.155382693,0.285363058,0.038174501,0.146487782,0.09054345,0.050074811
road19,0.031974411,0.02867841,0.279604053,0.048925652,0.058156633,0.013395084,0.016230473,0.06095221,0.043093811,0.005676104,-0.009517286,0.057673306,0.053257041,0.021953543,0.036394881,0.065795163,1,0.114247175,0.015376031,0.015870081,0.0335284,0.004783413,0.046392525,0.06633876,0.034394531,0.057516087,0.058313309,0.048987731,0.04347571,0.082491935,0.024612686,0.022664363,-0.011077281,0.039677315,0.045344902,0.033563778,0.030032316,0.076919165,0.091143772,0.018948241,0.042789131,0.050695181,0.051442128,0.028957607,0.074987807,0.048412968,0.048109292,0.073692913,0.045761923,0.047578346,0.05363635,0.048934278,0.049238786,0.046604658,0.050366656,0.023154372,0.078976499,0.036855942,0.11102816,0.068855459,0.047643287,0.084438829,0.118050319,0.089254061,0.039916912,0.011307575,0.072396711,0.057877418,0.103113986,0.023679724,0.050390263,0.064980824,0.05895748,0.0351747,0.071429871,0.056403639,0.029301349,0.022623954,0.026840106,0.002049366,0.075361226,0.031452111,0.054489151,0.036918574,0.02334642,0.026791015,0.029191089,0.027336938,0.002359514,0.037465546,0.031353553,0.036606355,0.030170163,0.03903308,0.057458362,0.017705049,0.048642472,0.071587889,0.059612029,0.050730406,0.095572969,0.066919871,0.064667951,0.041228227,0.047581418,0.05020574,0.028713859,0.057846213,0.007993183,0.223319333,0.040148112,0.028665271,0.021398483,0.000854863,0.075542356,0.110961715,0.037457201,0.059536832,0.046075476,0.025826958
road20,0.065150081,0.135753041,0.148584134,0.113133324,0.159218605,0.041883264,0.056694694,0.137309088,0.19070289,0.007216314,0.026516538,0.214628086,0.209716951,0.048847628,0.045692775,0.236824921,0.114247175,1,0.074104861,0.062587798,0.084614461,0.006257969,0.133632939,0.290351266,0.115675523,0.129012565,0.173899858,0.117320052,0.133849205,0.460320317,0.081819069,0.046808796,-0.025034508,0.084264343,0.193572933,0.084344306,0.049240616,0.199034776,0.369796784,0.041915786,0.151407621,0.187566164,0.163342511,0.10367013,0.219613711,0.113842722,0.168950852,0.17892613,0.111015833,0.113561478,0.145826773,0.145093328,0.129879982,0.09478063,0.141759333,0.076217866,0.285953951,0.103177415,0.37149167,0.255664131,0.152039891,0.344040259,0.161207542,0.287430546,0.096648009,0.029806756,0.363991455,0.147974299,0.164241265,0.037176836,0.125501276,0.171803195,0.247004232,0.106538568,0.165609405,0.100427234,0.102319462,0.083066205,0.053750997,0.01181409,0.229014409,0.100445638,0.180242922,0.113231203,0.045823076,0.079591755,0.078651629,0.080014644,0.012446916,0.110053109,0.091549967,0.10378807,0.07863112,0.074220965,0.221083855,0.062440187,0.160863522,0.25320561,0.14943825,0.242284042,0.340479941,0.122628784,0.197938203,0.129167865,0.190672269,0.157819494,0.059748175,0.157153853,0.018591061,0.111164536,0.094656022,0.095834555,0.085712305,0.014811679,0.20289571,0.633174537,0.102419336,0.248888936,0.114123229,0.106702266
road21,0.029319526,0.043688294,0.033295656,0.030874718,0.027028947,0.003142661,0.016445472,0.020324649,0.019279356,-0.014451072,0.029347074,0.034669845,0.041244031,0.055587462,0.030444109,0.079305037,0.015376031,0.074104861,1,0.036933832,-0.00518006,-0.005278337,0.02275128,0.051101228,0.022274378,0.040251882,0.04477823,0.200798163,0.033259308,0.045371509,0.050010998,0.034896396,0.051175092,0.045548684,0.039088292,0.01145124,0.049989871,0.040651467,0.071282328,0.002446706,0.04074301,0.110894757,0.018509431,0.009367892,0.026831483,0.143913612,0.026323137,0.043227651,0.021896253,0.0226053,0.052819703,0.044360457,0.017895517,0.023391052,0.03585787,0.013311325,0.066021858,0.033239648,0.132481002,0.118568891,0.103035131,0.055783843,0.05748598,0.058973434,0.016324368,-0.005482458,0.046726151,0.024829188,0.057509039,0.019536132,0.013554817,0.028556617,0.04505815,0.019906916,0.026096899,0.015374967,0.034324868,0.047964151,0.001769202,0.049863536,0.029281585,0.000463102,0.028616026,0.035962592,0.065648292,0.024901674,0.003539809,0.021182834,0.024492444,0.012295992,0.009544819,0.032590252,0.009055198,0.041597747,0.041553148,0.031496454,0.041991359,0.109048804,0.039723041,0.031763299,0.08505558,0.030549454,0.103259777,0.022069802,0.043552349,0.036017022,0.039277846,0.031332604,0.005286494,0.03902406,-0.002936817,0.017844567,0.009865673,0.000469553,0.061426848,0.055735549,0.010681977,0.05033275,0.039560487,0.027156706
road22,0.016094436,0.012378634,0.015992729,0.004413882,0.025528996,-0.002331662,-0.002397033,0.006782753,0.041828582,0.049761904,0.039576937,0.027873358,0.025089184,0.006448731,0.028252761,0.038290216,0.015870081,0.062587798,0.036933832,1,0.025487538,0.003545587,0.036722865,0.044628166,0.01300832,-0.008891941,0.050919909,0.041811454,0.019737708,0.055766286,0.01050992,0.012491669,0.000879596,0.038518729,0.042678388,0.026622413,-0.001663276,0.011070222,0.063767405,0.007808439,0.025720434,0.048664471,0.003577202,0.020177722,0.024722105,0.02452954,0.009409095,0.03320351,0.010642849,0.013524389,0.017779414,0.029889099,0.024890818,0.017365086,0.044378487,-0.002784483,0.048586489,0.002667915,0.058097526,0.074631437,0.028946715,0.051153681,0.029338997,0.053723514,0.013673591,0.012485629,0.052273305,0.024013211,0.030678265,0.005876154,-0.003255515,0.039013179,0.056732216,0.02123689,0.021832122,0.013838167,0.015963914,0.00921163,0.006844213,0.012204764,0.018832109,0.004482897,0.034445731,0.037604037,0.011314731,0.048727916,0.012117087,0.010515685,0.014978115,0.004502941,0.00116473,0.020599453,0.001702486,0.019170014,0.040533547,0.008773466,0.021617536,0.080072928,0.018091807,0.038731024,0.063177132,0.023001726,0.029850092,0.017790486,0.026013937,0.03636991,0.04664391,0.023361018,-0.002051484,0.017717061,0.004778693,0.028294748,-0.000831486,0.00443143,0.024406505,0.068726748,0.003297898,0.052942967,0.028753328,0.023432277
road23,0.014427701,0.028156426,0.051927426,0.077436149,0.053150249,0.006965982,0.045328468,0.036291478,0.025930472,-0.021099962,-0.022004752,0.046862585,0.047093774,0.003398866,0.017427433,0.100023251,0.0335284,0.084614461,-0.00518006,0.025487538,1,0.043950465,0.03003425,0.051659139,0.045267447,0.080879957,0.033067834,0.009827766,0.04946418,0.055327955,0.041761324,0.005046656,-0.009875404,0.027668993,0.046705703,0.023492723,0.029540726,0.10223437,0.078344539,0.014532907,0.04028763,0.056045497,0.063974311,0.029856431,0.053941146,0.031455743,0.045558916,0.037346449,0.033562766,0.048775229,0.041164665,0.057197839,0.047346802,0.033899864,0.031715545,0.039702589,0.050083374,0.111338424,0.09368041,0.077410109,0.048143259,0.063815287,0.030057587,0.068533603,0.035691002,0.007217126,0.057579868,0.033501791,0.058046661,0.014920888,0.035383368,0.088137284,0.059717624,0.026093403,0.048569809,0.04149954,0.066905325,0.003615643,0.021732408,-0.003441901,0.073999253,0.047746245,0.032147851,0.01525075,0.007444373,0.017200526,0.038499057,0.047385713,0.010575053,0.052451392,0.050693761,0.018383329,0.044291228,0.004953182,0.059641134,0.032553365,0.091517532,0.085092308,0.045765767,0.04786047,0.067854877,0.033255553,0.033314738,0.016923176,0.039300184,0.053765656,0.011244726,0.099381162,0.005122274,0.027904,0.064823662,0.036620735,0.240601501,0.021450751,0.06121523,0.079191372,0.028384712,0.026899069,0.045623048,-0.006749684
road24,0.002586178,-0.008840672,0.004758465,0.005946022,0.009583103,0.014820483,-0.002850401,0.00179159,-0.008146391,0.000603245,0.007650859,0.011739988,0.007491749,-0.00389926,0.003204023,0.007697747,0.004783413,0.006257969,-0.005278337,0.003545587,0.043950465,1,0.007845862,-0.005756911,0.022905422,0.016188808,-0.004967183,0.011622333,-0.002733102,-0.007858863,0.008409204,-0.00805143,-0.014508768,0.019852173,0.000871302,0.010082332,0.015109958,0.011438751,-0.005485819,0.011096759,0.005980096,-0.005133499,0.007275149,-0.002653634,0.001502826,0.009528901,-0.000242048,0.007676035,-0.000536892,0.011337137,0.011603027,0.00961951,0.014150785,-0.001518199,0.005350122,0.013638871,0.002664325,0.039891528,0.001970093,-0.008546014,-0.00748701,0.012375536,-0.000954529,-0.002355334,0.008496835,0.007995623,-0.00675855,-0.005784614,0.006554672,0.012429037,-0.00629174,0.003488087,-0.004876757,0.011329717,0.001767443,0.003753142,0.023402915,-0.00454651,0.005862696,-0.002404394,0.027981605,0.040489269,0.001181619,-0.00403718,0.000126664,-0.000384306,0.006056682,0.005057633,-0.001096058,0.037708928,0.02159192,0.017610326,0.031048092,0.00390387,0.008358486,0.003586694,0.032125775,0.004318772,0.010684836,-0.00626482,0.004471221,0.002192369,-0.001087615,0.001908733,-0.007585086,0.015237677,0.004628014,-0.000488143,0.004432211,0.002129199,0.009362444,0.007852985,0.072252316,0.198264716,0.015747234,-0.01293694,-0.004683032,-0.01616553,0.010227235,-0.004174136
road25,0.023310978,0.006151864,0.071705288,0.039665778,0.055674517,0.02900048,0.00658856,0.045967567,0.072244759,0.028615578,0.021296907,0.067118738,0.079524393,-0.004089037,0.028539188,0.068970901,0.046392525,0.133632939,0.02275128,0.036722865,0.03003425,0.007845862,1,0.105244457,0.050562659,0.031806321,0.301106873,0.070064567,0.049897017,0.086739544,0.039088793,0.022140156,-0.020566575,0.041823504,0.069870734,0.046922405,0.01925681,0.039598443,0.090622338,0.013654126,0.067695159,0.048183984,0.030694239,0.046354565,0.046850172,0.045096679,0.055989678,0.067420096,0.037309818,0.052231913,0.058506656,0.045610272,0.052992969,0.061783547,0.058187792,0.016284759,0.054133796,0.0345856,0.113391527,0.078386496,0.031727593,0.10946218,0.064737664,0.080618309,0.032143398,0.018131403,0.092521435,0.05517453,0.093797466,0.019849639,0.042003453,0.085432081,0.060370318,0.041428819,0.072955901,0.072211447,0.037626977,0.027417267,0.030439833,-0.012150146,0.033986131,0.00452654,0.11645648,0.158091221,0.000462418,0.039735537,0.026857046,0.006041636,-0.002171527,0.029622094,0.018579637,0.052214791,0.018122688,0.030492787,0.085143447,0.043381321,0.044455881,0.067702655,0.046851361,0.06807249,0.106341434,0.05047967,0.030449831,0.14740071,0.026618419,0.055487247,0.031583081,0.072929449,0.005765556,0.040034189,0.021491688,0.052880451,0.038007798,0.020445193,0.079809085,0.113462753,0.030569151,0.073877818,0.055443503,0.043820531
road26,0.017188196,0.149807759,0.082496027,0.09892582,0.071949996,0.006928219,0.042864048,0.088925377,0.139926423,0.021588658,0.023569336,0.331665616,0.310031624,0.013041208,0.014961453,0.210855388,0.06633876,0.290351266,0.051101228,0.044628166,0.051659139,-0.005756911,0.105244457,1,0.050954425,0.047471143,0.196456853,0.06687109,0.068045288,0.501495113,0.050048031,0.019301408,0.007207906,0.034415455,0.304956435,0.102336227,0.03153236,0.082720738,0.368837113,0.01120471,0.249470958,0.25969353,0.089194936,0.061836294,0.229041425,0.066504549,0.087897442,0.119046367,0.048039587,0.172651093,0.068242164,0.09635743,0.07086379,0.068506907,0.094799586,0.036000596,0.23286517,0.032220607,0.292000617,0.296826965,0.223775115,0.359332053,0.075918559,0.241641164,0.032795234,-0.00021963,0.485781025,0.110054116,0.08634335,0.014485746,0.133600773,0.153536261,0.349176437,0.043194859,0.104213535,0.043849688,0.053110028,0.027342438,0.017507308,0.011278013,0.089398908,0.0378378,0.612831986,0.13971309,-0.002321846,0.060095048,0.051428786,0.083936671,0.02720834,0.038728423,0.039335579,0.060488598,0.042158011,0.016068383,0.300863513,0.006029783,0.087142144,0.248794809,0.077008014,0.27847043,0.227656038,0.055346448,0.185614767,0.367771382,0.19194275,0.117966858,0.002126412,0.134428275,0.00361845,0.056796406,0.055735284,0.126067493,0.026006421,0.024680124,0.108591841,0.482787643,0.067050933,0.181490523,0.063691242,0.07067372
road27,0.02563307,0.042672324,0.059036032,0.045364074,0.049307026,0.049247276,0.040441167,0.038860004,0.048182261,0.000216547,0.009793222,0.051476103,0.052149688,0.022919277,0.029223294,0.102146617,0.034394531,0.115675523,0.022274378,0.01300832,0.045267447,0.022905422,0.050562659,0.050954425,1,0.063008728,0.053283299,0.04977687,0.04566406,0.076590783,0.10006599,0.018597504,-0.010347107,0.026514389,0.040652745,0.02455825,0.021907487,0.071898047,0.086358647,-0.02301235,0.033172321,0.044977756,0.063482004,0.327921461,0.050203559,0.047727525,0.091018317,0.054575056,0.035637945,0.034500568,0.046654397,0.047212908,0.036788701,0.038382171,0.046872759,0.037208195,0.082090891,0.138427096,0.086288633,0.055074951,0.034973585,0.080989442,0.060490412,0.083614192,0.033431463,0.008636557,0.068354662,0.036950443,0.060345225,0.019191949,0.031899914,0.064496227,0.057060644,0.02475325,0.054244736,0.047739864,0.04529782,0.031175291,0.018702448,0.004102396,0.067254508,0.024934816,0.035556484,0.033534574,0.023527428,0.014080873,0.160488875,0.010192948,0.000924332,0.043023383,0.034357205,0.031389118,0.026028557,0.026854834,0.060178103,0.205413892,0.13314881,0.063620113,0.0475127,0.044327453,0.087605458,0.027424698,0.050888731,0.033565483,0.05164516,0.052509028,0.025685817,0.067591846,0.001571679,0.041979059,0.040198511,0.028198683,0.095479912,0.012332631,0.074253336,0.100590742,0.036466909,0.049926109,0.026600884,0.023709011
road28,0.023304809,0.069941939,0.07037683,0.532240748,0.063244392,0.025906771,0.079353851,0.051678117,0.062460856,-0.009834765,0.003486122,0.106822572,0.10922869,0.033240902,0.043120893,0.089309585,0.057516087,0.129012565,0.040251882,-0.008891941,0.080879957,0.016188808,0.031806321,0.047471143,0.063008728,1,0.057658744,0.065219851,0.061361447,0.049105673,0.123281199,0.040276104,-0.004539089,0.057412394,0.11448235,0.076238969,0.04914898,0.425938821,0.142968192,0.00361088,0.112976065,0.081133619,0.0961793,0.046132809,0.090991785,0.075338831,0.093119366,0.064717469,0.053781111,0.077593479,0.083489431,0.072677975,0.062848463,0.087942709,0.057400775,0.050263659,0.111258773,0.066749809,0.164942133,0.091370746,0.137987763,0.115506357,0.064351861,0.100942666,0.054494099,0.031789201,0.053469339,0.060484345,0.064009398,0.023662515,0.093800331,0.219808112,0.08946759,0.037224311,0.062046548,0.042624693,0.035057782,0.025970605,0.022296682,0.022977058,0.179636732,0.110264042,0.040315981,0.030967907,0.041555884,0.019026686,0.044873165,0.024174489,0.014981484,0.10384098,0.061883031,0.036369653,0.061721153,0.053009663,0.112392819,0.106830681,0.060915639,0.148973392,0.069344418,0.054416995,0.130412491,0.046565667,0.151845275,0.040101165,0.079500548,0.123698792,0.043994482,0.383744545,0.011057638,0.042018371,0.049307797,0.11075156,0.112704718,-0.005805531,0.122906084,0.087205425,0.053766387,0.115925251,0.062553068,0.038639607
road29,0.032570765,0.035588821,0.070228222,0.07464857,0.072887896,0.026069682,0.029089558,0.067808698,0.095834584,0.041047972,0.033234219,0.120939077,0.16905396,-0.002488064,0.047482646,0.099055533,0.058313309,0.173899858,0.04477823,0.050919909,0.033067834,-0.004967183,0.301106873,0.196456853,0.053283299,0.057658744,1,0.09797542,0.087554355,0.138670169,0.058144746,0.027135224,-0.027876546,0.053988128,0.152355168,0.088646828,0.01101418,0.061573528,0.148445864,0.010428957,0.142433486,0.076113618,0.050483208,0.06413275,0.097805113,0.050634436,0.065647724,0.08945237,0.046281114,0.10330108,0.07723638,0.065456282,0.074073329,0.092172442,0.106725353,0.023130077,0.083881137,0.049504062,0.15380053,0.115933476,0.053798713,0.168233226,0.078122099,0.132850327,0.037197837,0.016899281,0.149596726,0.072393191,0.11035274,0.021605064,0.082804935,0.115446544,0.111085303,0.054953293,0.103421348,0.076304473,0.047161075,0.035795317,0.036586834,-0.008222331,0.056563364,0.012889778,0.241875658,0.354655211,0.003402616,0.068619925,0.041983464,0.014691658,0.006033886,0.035299353,0.024759855,0.065319549,0.021464526,0.051879208,0.159457091,0.051648647,0.078269382,0.10025486,0.061162426,0.101782644,0.160250195,0.057740302,0.063432257,0.326623534,0.048192505,0.083091883,0.072304107,0.100360211,0.005845946,0.047842512,0.0296587,0.080440662,0.036222057,0.015724883,0.115184627,0.157962983,0.041979146,0.117761432,0.060469194,0.051377653
road30,0.034659585,0.065610528,0.052305083,0.057332024,0.055422452,0.00515917,0.040363639,0.044026768,0.072360611,0.004275748,0.041641771,0.041652764,0.049828708,0.080270629,0.046848277,0.084185605,0.048987731,0.117320052,0.200798163,0.041811454,0.009827766,0.011622333,0.070064567,0.06687109,0.04977687,0.065219851,0.09797542,1,0.03813376,0.046603868,0.059398726,0.036939214,-0.013473393,0.08872318,0.038950615,0.019579347,0.135625376,0.070290905,0.089290412,0.007528574,0.050564208,0.082769278,0.048936603,0.054696781,0.039513554,0.387646011,0.0735626,0.060234759,0.054142151,0.03622826,0.077459687,0.061156227,0.040417113,0.048245909,0.073120932,0.01648204,0.082540239,0.040960229,0.145194613,0.075253982,0.058154329,0.082858031,0.081611327,0.079815446,0.040133712,0.00705013,0.048707615,0.053731731,0.075809,0.020317676,0.027173581,0.067526249,0.041306919,0.030537161,0.073005815,0.031370252,0.086599151,0.030933798,0.022774733,0.077795121,0.058370448,0.011018988,0.054173228,0.056708749,0.070640397,0.034542179,0.03530656,0.015313977,0.02063033,0.035608364,0.025142938,0.042153949,0.027790857,0.071388298,0.059912537,0.071181682,0.064178834,0.084424112,0.06354315,0.044012067,0.122414375,0.056971467,0.103448888,0.060212946,0.046350231,0.069315485,0.090881447,0.06947113,0.007272398,0.025929847,0.0188494,0.039917611,0.036816135,0.005730023,0.081523424,0.073805464,0.029754032,0.071182001,0.076604211,0.05724492
